id,ra_deg,dec_deg
Gaia DR3 815001487873115776,142.89016723632812,43.928890228271484
LINEAR 7300636,142.8993682861328,44.072391510009766
Gaia DR3 815000590223516800,142.94400024414062,43.91624069213867
CSS_J093151.5+434919,142.96487426757812,43.82210922241211
Gaia DR3 814984269347688192,143.0425567626953,43.758541107177734
Gaia DR3 818014355891403520,143.05844116210938,44.26728057861328
Gaia DR3 815009837289536512,143.06524658203125,44.08810043334961
Gaia DR3 815003755615853568,143.0760040283203,43.94683837890625
Gaia DR3 814979463279372672,143.10687255859375,43.62228012084961
Gaia DR3 814990149160494592,143.12103271484375,43.817378997802734
Gaia DR3 815002793543178624,143.13792419433594,43.91094970703125
Gaia DR3 814978668710549760,143.15060424804688,43.60737991333008
Gaia DR3 814930775531617792,143.16578674316406,43.52119827270508
Gaia DR3 815004408450881280,143.16981506347656,43.94982147216797
Gaia DR3 815005920279361024,143.1710662841797,44.02402877807617
CSS_J093250.8+443956,143.2117156982422,44.665809631347656
ASASSN-V J093255.75+433206.3,143.23228454589844,43.535091400146484
Gaia DR3 814937230866532224,143.23687744140625,43.58882141113281
Gaia DR3 814927094743653120,143.26980590820312,43.47285842895508
Gaia DR3 814986988063545472,143.30291748046875,43.76826858520508
Gaia DR3 815100615718051456,143.3029327392578,44.16183090209961
Gaia DR3 818123791658249984,143.3158416748047,44.69252014160156
Gaia DR3 818135748847201408,143.32101440429688,44.73619079589844
Gaia DR3 818123585499819904,143.32122802734375,44.671409606933594
Gaia DR3 814933661750625024,143.35362243652344,43.57659912109375
Gaia DR3 818136328666488448,143.39817810058594,44.796470642089844
Gaia DR3 818116507393732096,143.41238403320312,44.48377990722656
Gaia DR3 818123070103742080,143.4267120361328,44.67478942871094
Gaia DR3 818123448060881792,143.4268035888672,44.733699798583984
HAT-138-0007947,143.46408081054688,44.25672149658203
Gaia DR3 814915691606500480,143.5166473388672,43.31610107421875
Gaia DR3 815084634144139264,143.52244567871094,44.00204849243164
ASAS J093406+4402.1,143.52633666992188,44.036468505859375
Gaia DR3 818143926464928768,143.5704345703125,44.723209381103516
Gaia DR3 818149286584097920,143.5906524658203,44.863441467285156
Gaia DR3 815084084388324352,143.62310791015625,43.99769973754883
Gaia DR3 814725510455252864,143.63546752929688,43.188018798828125
Gaia DR3 814727468960338816,143.65176391601562,43.257869720458984
Gaia DR3 815016881035732480,143.66189575195312,43.63016128540039
Gaia DR3 815042994437260416,143.67108154296875,44.006290435791016
ASASSN-V J093441.65+441504.6,143.67352294921875,44.25128173828125
ASASSN-V J093454.86+442657.9,143.7285919189453,44.44942092895508
Gaia DR3 814724342224145152,143.7305450439453,43.250221252441406
Gaia DR3 815038768189043840,143.7449951171875,43.924129486083984
Gaia DR3 815018221065503360,143.77671813964844,43.6961784362793
Gaia DR3 815121643877916160,143.81387329101562,44.40612030029297
Gaia DR3 814822233119079680,143.83648681640625,43.37527847290039
Gaia DR3 815116489917161984,143.8819122314453,44.23088073730469
Gaia DR3 814817525834923136,143.89300537109375,43.27833938598633
Gaia DR3 815116970953497728,143.8943328857422,44.27238082885742
Gaia DR3 815039627182495232,143.9248046875,43.97629165649414
ASASSN-V J093547.30+440709.6,143.9470977783203,44.11933898925781
Gaia DR3 815068901679519232,143.97427368164062,44.220401763916016
Gaia DR3 815130027654044800,143.9994659423828,44.56528854370117
Gaia DR3 814807424071838592,144.01400756835938,43.28580093383789
LINEAR 16989466,144.0146026611328,43.71173095703125
GSC 02998-00537,144.02003479003906,44.67818832397461
LINEAR 16985469,144.0255126953125,43.302818298339844
Gaia DR3 814832334882106880,144.04429626464844,43.658180236816406
Gaia DR3 815071822257274240,144.0590057373047,44.32109069824219
CSS_J093621.3+443527,144.08863830566406,44.59130859375
ASASSN-V J093634.32+440745.2,144.14300537109375,44.12921905517578
Gaia DR3 815132295396771072,144.17648315429688,44.66135025024414
Gaia DR3 814808970260093184,144.21539306640625,43.28538131713867
Gaia DR3 815129512257962240,144.21673583984375,44.686161041259766
AE UMa,144.22149658203125,44.06678009033203
Gaia DR3 814816387666246528,144.23519897460938,43.50825881958008
Gaia DR3 814857932887170688,144.2884979248047,43.82973861694336
CSS_J093710.8+432546,144.2949981689453,43.42953109741211
Gaia DR3 815048801232629504,144.3000946044922,43.97220993041992
Gaia DR3 821134151415731200,144.30267333984375,44.69118118286133
Gaia DR3 821140611047275648,144.31602478027344,44.86273956298828
Gaia DR3 814861059620889344,144.32186889648438,43.94414138793945
Gaia DR3 814860819105192192,144.35519409179688,43.943119049072266
Gaia DR3 814756193701997824,144.37071228027344,43.08787155151367
Gaia DR3 815075189511624576,144.38070678710938,44.3726806640625
Gaia DR3 814856592857385216,144.39688110351562,43.844478607177734
Gaia DR3 821081512296570112,144.40975952148438,44.50767135620117
ZTF J093738.49+443136.5,144.41038513183594,44.52682113647461
Gaia DR3 814759286078446336,144.42340087890625,43.1965217590332
Gaia DR3 814856764656064384,144.43955993652344,43.880428314208984
Gaia DR3 821080923884757376,144.49061584472656,44.484619140625
Gaia DR3 814861334501276672,144.50567626953125,43.831748962402344
Gaia DR3 821063954470269184,144.52041625976562,44.30049133300781
Gaia DR3 814788148258634112,144.5319366455078,43.4252815246582
Gaia DR3 814868996722920576,144.53306579589844,44.07912063598633
Gaia DR3 821063645232623488,144.56190490722656,44.27621078491211
Gaia DR3 821148307627906048,144.5720977783203,45.01369857788086
Gaia DR3 821083951837987840,144.57391357421875,44.60633850097656
Gaia DR3 814789144690996736,144.63710021972656,43.4787483215332
Gaia DR3 814848720181993856,144.65167236328125,43.79275894165039
Gaia DR3 821089277597416832,144.65615844726562,44.662559509277344
Gaia DR3 814850305025258112,144.71212768554688,43.82741165161133
Gaia DR3 821097180337211904,144.75204467773438,44.92095947265625
NSVS 4892894,144.7930145263672,43.602149963378906
MGAB-V1161,144.81822204589844,44.10763931274414
Gaia DR3 820879373957014272,144.9188232421875,44.32849884033203
Gaia DR3 820884253039843072,144.9253692626953,44.463111877441406
Gaia DR3 821102467440805120,144.96087646484375,44.75883102416992
Gaia DR3 820852126682473088,144.98681640625,43.901668548583984
Gaia DR3 814023163042568576,145.02259826660156,43.24934005737305
Gaia DR3 814780520396705920,145.02659606933594,43.471988677978516
Gaia DR3 820865870579862400,145.04736328125,44.20676040649414
Gaia DR3 820885043313840256,145.0564727783203,44.48162078857422
NSV 4564,145.05828857421875,44.48971939086914
NSV 4566,145.0676727294922,44.36956024169922
Gaia DR3 814777221861821952,145.0725555419922,43.43552017211914
NSV 4571,145.22500610351562,44.370941162109375
Gaia DR3 820801617869179136,145.2250518798828,43.82229995727539
HIP 47494,145.2321014404297,43.99250030517578
Gaia DR3 820906067176200704,145.23443603515625,44.5601692199707
Gaia DR3 820906071473702784,145.24850463867188,44.55598068237305
Gaia DR3 820911672111055744,145.25506591796875,44.690189361572266
Gaia DR3 820784472359751680,145.27154541015625,43.60456085205078
Gaia DR3 820807974420774016,145.3083038330078,43.862449645996094
HAT-138-0001877,145.3459930419922,43.973140716552734
Gaia DR3 820888754165604736,145.3701629638672,44.38180923461914
Gaia DR3 820791722264522368,145.4465789794922,43.76411056518555
Gaia DR3 820798319334283392,145.4894561767578,43.97235870361328
Gaia DR3 820820751945968640,145.5714569091797,43.94314956665039
Gaia DR3 820824153562467712,145.6527862548828,44.112388610839844
